row_id,coun_ID,is_urban,age,age_grp,female,married,religion_Id,relationship_to_hh_head_ID,education_level,literacy,employment_category_last_year_Id,employment_type_last_year_Id,share_hh_income_provided,income_government_last_year,income_own_business_last_year,income_private_sector_last_year,income_public_sector_last_year,num_times_borrowed_last_year,formal_savings,informal_savings,cash_property_savings,has_insurance,has_investment,num_shocks_last_year,avg_shock_strength_last_year,borrowed_for_emergency_last_year,borrowed_for_daily_expenses_last_year,borrowed_for_home_or_biz_last_year,phone_technology,can_text,can_use_internet,can_make_transaction,phone_ownership,advanced_phone_use,reg_bank_acct,reg_mm_acct,reg_formal_nbfi_account,financially_included,active_bank_user,active_mm_user,active_formal_nbfi_user,active_informal_nbfi_user,nonreg_active_mm_user,num_formal_institutions_last_year,num_informal_institutions_last_year,num_financial_activities_last_year,poverty_probability,type
0,4,False,57,40+,True,True,5,1,3,True,1,4,2,True,False,False,True,1,False,False,False,False,False,2,2,False,False,False,1,True,True,True,2,True,False,False,False,False,False,False,False,False,False,0,0,0,0,test
1,2,False,40,30-40,False,True,3,2,0,True,1,4,3,False,False,False,True,1,True,False,False,False,False,0,0,False,False,False,1,False,False,False,2,False,True,False,False,True,False,False,False,False,False,0,0,0,0,test
2,6,False,35,30-40,True,True,4,6,1,False,2,2,5,False,False,False,False,1,False,True,True,False,False,0,0,False,True,False,1,True,False,False,2,False,False,False,False,False,False,False,False,True,True,1,1,2,0,test
3,6,True,19,40+,True,False,4,5,3,True,1,4,1,False,False,True,False,0,False,False,False,False,False,1,5,False,False,False,0,False,False,False,1,False,False,False,False,False,False,False,False,True,False,0,1,0,0,test
4,1,False,61,40+,True,True,4,1,0,False,2,2,1,False,False,False,False,1,False,False,False,False,False,0,0,False,True,False,0,False,False,False,1,False,False,False,False,False,False,False,False,False,False,0,0,0,0,test
5,1,True,16,15-18,True,False,4,5,2,True,2,2,1,True,False,False,False,1,False,False,False,False,False,0,0,True,True,True,0,True,True,True,1,False,False,False,False,False,False,False,False,False,False,0,0,0,0,test
6,4,False,40,30-40,False,True,4,2,0,False,1,5,5,False,False,False,False,0,False,True,True,False,True,0,0,False,False,False,0,False,False,False,0,False,False,False,False,False,False,False,False,False,False,0,0,0,0,test
7,2,False,27,19-30,True,True,3,6,0,False,2,2,2,False,False,False,False,0,True,True,False,False,False,0,0,False,False,False,0,False,False,False,0,False,True,False,False,True,False,False,False,False,False,1,0,1,0,test
8,1,True,35,30-40,False,True,4,2,3,True,1,4,5,False,False,False,False,0,True,False,True,False,True,1,2,False,False,False,2,True,True,True,2,True,True,False,False,True,True,False,False,False,True,2,0,2,0,test
9,7,False,72,40+,True,False,5,2,1,False,1,5,4,False,False,False,False,2,True,False,False,False,False,3,5,False,False,True,1,False,False,False,2,False,False,True,True,True,False,True,True,False,False,2,0,4,0,test
10,2,False,22,19-30,False,True,3,4,0,False,2,2,2,False,False,False,False,0,False,False,False,False,False,1,4,False,False,False,2,False,False,False,2,False,True,False,False,True,True,False,False,False,False,1,0,0,0,test
11,4,False,27,19-30,False,False,4,1,3,True,3,3,1,True,False,False,False,0,False,False,False,False,False,1,4,False,False,False,1,True,True,False,2,True,False,False,False,False,False,False,False,False,False,0,0,0,0,test
12,6,False,45,40+,False,True,4,2,3,True,1,4,4,False,False,False,True,0,False,False,False,False,False,1,4,False,False,False,0,True,False,False,0,False,True,False,False,True,True,False,False,False,True,2,0,5,0,test
13,5,False,36,30-40,False,True,5,2,2,True,1,5,3,False,True,False,False,1,True,True,False,True,True,1,4,False,False,True,2,True,True,True,2,False,False,True,True,True,False,True,True,False,False,2,0,6,0,test
14,2,False,62,40+,False,True,4,2,0,False,1,1,2,True,False,False,False,0,True,False,False,True,False,2,5,False,False,False,0,False,False,False,0,False,True,False,False,True,False,False,False,False,False,0,0,1,0,test
15,5,False,21,19-30,False,False,5,3,2,True,5,2,1,False,False,False,False,2,True,True,True,True,False,2,3,False,False,False,3,True,True,True,2,True,False,True,False,True,False,True,False,False,False,1,0,5,0,test
16,1,False,69,40+,False,True,4,2,1,True,4,2,1,False,False,False,False,0,False,False,True,False,False,2,3,False,False,False,2,False,False,False,2,False,True,False,False,True,False,False,False,False,False,0,0,0,0,test
17,5,False,52,40+,True,False,5,2,0,False,1,5,3,False,True,False,False,3,True,False,False,False,True,3,5,False,False,False,1,False,False,True,2,True,False,True,False,True,False,True,False,False,False,1,0,2,0,test
18,7,False,29,19-30,True,True,5,6,1,False,2,2,5,False,False,False,False,0,False,False,False,False,False,3,3.333333333,False,False,False,0,False,False,False,0,False,False,False,False,False,False,False,False,False,False,0,0,0,0,test
19,2,False,60,40+,True,True,3,6,0,False,4,2,2,False,False,False,False,1,False,False,False,True,False,1,2,False,False,False,0,False,False,False,0,False,True,False,False,True,False,False,False,False,False,1,0,1,0,test
20,3,False,35,30-40,True,True,5,6,1,True,1,5,2,False,True,False,False,2,False,False,False,False,False,2,3.5,False,False,False,1,True,False,False,2,False,False,False,False,False,False,False,False,False,False,0,0,0,0,test
21,6,False,29,19-30,True,True,4,2,0,False,2,2,1,False,False,False,False,0,False,False,False,False,False,0,0,False,False,False,0,False,False,False,0,False,False,False,False,False,False,False,False,False,False,0,0,0,0,test
22,6,False,18,15-18,False,False,4,5,2,True,1,4,1,False,False,True,False,0,False,False,False,False,False,1,3,False,False,False,1,False,False,False,2,False,False,False,False,False,False,False,False,False,False,0,0,0,0,test
23,3,False,35,30-40,False,True,5,2,0,True,1,5,5,False,True,True,False,0,False,False,True,False,True,0,0,False,False,False,0,False,False,False,1,False,False,False,False,False,False,False,False,False,True,1,0,1,0,test
24,2,False,42,40+,False,True,3,2,3,True,1,1,1,False,False,False,False,0,False,False,False,False,False,1,4,False,False,False,1,False,False,False,2,True,True,False,False,True,True,False,False,False,False,1,0,1,0,test
